Gold,Total,Score,Coach,Host,Events,Athletes,GDP
5,6,55,0,0,5,270,162.936
0,4,8,0,0,6,224,162.936
0,4,8,0,0,6,274,162.936
5,5,50,0,0,6,390,318.001
4,4,40,0,0,6,542,424.744
4,5,45,0,0,6,762,400.303
0,5,25,0,0,6,559,1056.574
0,4,8,0,0,6,510,1263.667
0,1,2,0,0,4,382,162.936
0,1,2,0,0,14,762,400.303
0,1,2,0,0,11,337,197.15
2,3,22,0,0,13,542,424.744
1,3,17,0,0,15,762,400.303
1,2,12,0,0,17,585,658.776
0,1,2,0,0,17,559,1056.574
1,1,10,0,0,15,510,1263.667
0,1,2,0,0,15,649,1802.006
2,2,20,0,0,7,5,162.936
0,4,17,0,0,9,6,162.936
0,1,2,0,0,4,10,162.936
0,6,27,0,0,10,29,162.936
1,8,39,0,0,11,60,162.936
0,2,10,0,0,11,29,162.936
1,2,15,0,0,11,20,162.936
0,4,14,0,0,11,101,162.936
1,1,10,0,0,11,135,162.936
19,25,214,0,0,13,402,162.936
5,34,171,0,0,15,270,162.936
4,20,87,0,0,18,382,162.936
3,18,87,0,0,29,224,162.936
6,10,74,0,0,29,266,162.936
0,1,2,0,0,26,274,162.936
6,11,70,0,0,26,190,162.936
1,20,72,0,0,29,337,197.15
1,3,17,0,0,31,339,271.107
1,9,35,0,0,31,390,318.001
2,25,93,1,0,32,542,424.744
15,46,293,1,0,32,762,400.303
17,31,231,1,0,32,585,658.776
19,54,299,1,0,32,559,1056.574
7,32,171,0,0,32,506,1570.323
7,32,162,0,0,32,510,1263.667
20,53,275,0,0,35,638,1364.828
17,51,295,0,0,35,649,1802.006
0,2,4,0,0,4,339,271.107
0,2,4,0,0,4,390,318.001
2,2,20,0,0,4,542,424.744
0,2,10,0,0,4,762,400.303
0,1,2,0,0,5,585,658.776
0,2,4,0,0,0,638,1364.828
2,2,20,0,0,0,649,1802.006
0,4,8,0,0,6,243,851.146
0,4,8,0,0,6,228,655.454
1,1,10,0,0,6,310,669.29
1,1,10,0,0,18,294,2464.053
0,3,12,0,1,18,571,1796.622
0,1,2,0,0,6,104,145.819
0,3,9,0,0,8,197,142.957
1,1,10,1,0,7,233,320.105
1,1,10,1,0,14,233,382.465
0,2,4,1,0,14,243,851.146
0,2,10,1,0,14,228,655.454
0,2,4,0,0,14,310,669.29
0,3,6,0,0,14,330,1695.855
1,4,16,0,0,14,294,2464.053
1,3,14,0,1,14,571,1796.622
0,2,4,0,0,15,416,1476.092
1,13,37,0,0,15,401,2188.419
1,7,25,0,0,21,38,145.819
0,1,5,0,1,15,571,1796.622
0,1,2,0,0,11,114,145.819
0,1,2,0,0,15,82,145.819
0,4,8,0,0,26,149,145.819
0,1,5,0,0,29,197,142.957
0,1,5,0,0,31,233,382.465
0,3,9,0,0,32,243,851.146
0,4,8,0,0,32,228,655.454
1,2,12,0,0,32,330,1695.855
0,2,7,0,0,32,294,2464.053
0,1,2,0,1,32,571,1796.622
0,2,4,0,0,35,416,1476.092
0,2,4,0,0,0,416,1476.092
0,12,60,0,0,2,197,142.957
12,12,120,0,0,2,233,382.465
0,12,24,0,0,2,243,851.146
0,12,24,0,0,4,228,655.454
12,12,120,1,0,4,310,669.29
12,24,180,1,0,4,330,1695.855
12,24,180,1,0,4,294,2464.053
12,12,120,1,1,4,571,1796.622
0,12,60,0,0,4,416,1476.092
0,13,26,0,0,2,401,2188.419
0,3,6,0,0,6,143,276.064
3,3,30,0,0,6,291,276.064
0,1,5,0,1,6,531,276.064
0,4,8,0,0,6,503,509.38
1,5,30,0,0,6,446,1552.864
0,1,2,0,0,6,397,1527.996
0,1,2,0,0,12,538,2214.796
0,2,4,0,0,5,378,492.148
0,3,9,0,0,5,418,860.468
2,6,34,1,0,5,392,1205.532
1,4,22,1,0,5,490,1949.446
2,4,27,1,1,5,708,4577.28
2,4,27,1,0,5,463,8539.584
1,1,10,1,0,5,483,11226.897
3,10,65,0,0,0,574,14862.564
4,9,65,0,0,0,587,18273.357
1,1,10,0,0,8,323,314.23
0,1,5,0,0,8,378,492.148
0,6,21,0,0,10,392,1205.532
0,6,30,0,0,10,490,1949.446
1,5,30,0,1,10,708,4577.28
5,6,52,0,0,10,463,8539.584
0,5,22,0,0,10,483,11226.897
1,1,10,0,0,12,574,14862.564
5,21,109,0,0,15,323,314.23
1,2,12,0,0,16,423,408.663
2,13,69,0,0,16,378,492.148
1,12,62,0,0,16,418,860.468
8,12,94,0,0,16,392,1205.532
1,3,14,0,0,18,490,1949.446
19,24,203,0,1,18,708,4577.28
8,12,97,0,0,18,463,8539.584
0,10,20,0,0,18,483,11226.897
1,3,14,0,0,14,378,492.148
1,2,12,0,0,14,418,860.468
2,4,27,0,0,14,392,1205.532
1,5,21,0,0,14,490,1949.446
3,4,32,0,1,14,708,4577.28
0,2,7,0,0,14,463,8539.584
0,2,4,0,0,14,483,11226.897
0,1,2,0,0,15,587,18273.357
3,6,36,1,0,11,323,314.23
0,2,7,1,0,11,423,408.663
2,4,30,1,0,11,378,492.148
2,5,32,1,0,13,418,860.468
3,8,46,1,0,15,392,1205.532
4,9,56,1,0,17,490,1949.446
5,8,62,1,1,17,708,4577.28
2,7,36,1,0,15,463,8539.584
1,7,28,1,0,15,483,11226.897
6,13,77,1,0,15,574,14862.564
6,12,78,0,0,15,587,18273.357
0,4,17,0,0,31,423,408.663
4,13,85,0,0,31,378,492.148
1,12,50,0,0,32,418,860.468
1,6,35,0,0,32,490,1949.446
1,14,57,0,1,32,708,4577.28
5,15,76,0,0,32,463,8539.584
1,6,26,0,0,32,483,11226.897
8,14,107,0,0,35,574,14862.564
6,36,144,0,0,35,587,18273.357
1,3,20,0,0,0,587,18273.357
10,10,100,0,0,2,323,314.23
0,11,22,0,0,2,423,408.663
0,9,45,0,0,4,418,860.468
12,12,120,0,0,4,490,1949.446
0,12,24,0,1,4,708,4577.28
12,12,120,1,0,4,483,11226.897
0,3,6,0,0,6,356,695.475
0,1,2,0,0,6,302,695.475
2,4,27,0,0,8,200,695.475
0,3,9,0,0,8,354,526.671
1,2,12,0,0,7,413,1012.843
2,7,33,0,0,14,476,1392.563
3,6,36,0,0,14,445,1599.248
2,6,34,0,0,14,466,1361.56
0,1,5,0,0,14,453,2108.835
0,4,14,0,0,14,441,2926.483
2,7,30,0,0,14,422,2684.706
2,5,32,0,0,14,504,2469.726
12,18,141,0,0,15,538,2645.806
15,23,172,0,1,15,801,3174.099
12,12,120,0,0,4,538,2645.806
13,13,130,0,1,2,801,3174.099
6,7,65,0,0,6,597,3936.989
7,8,75,0,0,6,647,4710.032
0,10,38,0,0,5,285,856.833
4,5,42,0,0,6,394,856.833
12,13,125,0,0,6,567,856.833
0,8,25,0,0,6,352,856.833
4,12,77,0,0,6,253,856.833
3,4,32,0,0,5,413,856.833
6,13,80,0,0,6,467,856.833
6,13,80,0,0,6,647,2146.14
10,10,100,0,0,6,618,2507.448
8,10,87,0,0,6,551,1967.85
4,9,53,0,0,6,576,2851.023
6,8,67,0,0,6,547,3808.369
6,10,77,0,0,6,494,3600.175
5,15,85,0,0,6,528,3536.808
2,4,27,0,0,5,43,168.28
2,4,27,0,0,5,33,274.722
2,3,25,0,0,5,42,179.482
1,2,12,0,0,5,31,279.344
0,1,2,0,0,5,18,558.291
2,3,22,0,0,0,35,1059.055
0,1,2,0,0,0,36,1402.59
1,2,15,0,0,6,36,479.967
1,10,40,0,0,0,291,479.967
0,5,13,0,0,0,330,479.967
0,5,22,0,0,6,196,479.967
1,5,21,0,1,5,392,479.967
5,8,56,0,0,6,246,479.967
1,6,23,0,0,6,345,479.967
1,5,30,0,0,6,203,479.967
2,4,30,0,0,7,36,479.967
0,4,14,0,0,8,47,479.967
0,10,50,0,0,4,97,479.967
2,4,30,0,0,5,96,479.967
54,56,550,0,0,6,291,479.967
16,28,184,0,0,7,330,479.967
24,40,308,0,0,7,262,479.967
4,44,228,0,0,7,154,479.967
28,48,368,0,0,7,335,479.967
2,42,214,0,0,7,296,479.967
16,46,304,0,0,7,363,479.967
26,34,288,0,0,7,196,479.967
14,46,234,0,1,8,392,479.967
0,22,104,0,0,8,246,479.967
0,12,54,0,0,8,268,479.967
12,12,120,0,0,8,345,479.967
2,24,130,0,0,8,312,479.967
0,10,50,0,0,8,203,479.967
22,38,258,0,0,8,368,441.048
2,24,94,0,0,8,374,897.006
12,14,130,0,0,8,431,1305.099
14,30,196,0,0,10,460,1315.136
16,26,180,0,0,10,453,1150.169
10,22,154,0,0,10,470,1811.987
4,32,96,1,0,10,455,2417.242
18,32,220,1,0,10,374,2099.259
2,14,80,0,0,10,395,1886.59
0,28,92,0,0,12,524,1905.954
8,28,174,0,0,12,610,2376.51
0,2,10,0,0,4,47,479.967
1,1,10,0,0,2,97,479.967
19,20,192,0,0,4,96,479.967
28,28,280,0,0,4,291,479.967
9,10,92,0,0,9,330,479.967
0,13,65,0,0,8,262,479.967
8,11,89,0,0,11,154,479.967
0,8,19,0,1,14,392,479.967
1,3,17,0,0,14,246,479.967
1,1,10,0,0,16,460,1315.136
1,2,12,0,0,18,470,1811.987
0,1,2,0,0,18,374,2099.259
0,1,2,0,0,6,312,479.967
1,1,10,0,0,8,203,479.967
0,1,5,0,0,8,368,441.048
0,1,5,0,0,14,431,1305.099
0,2,7,0,0,14,460,1315.136
1,4,16,0,0,14,453,1150.169
0,1,2,0,0,14,470,1811.987
1,1,10,0,0,14,455,2417.242
0,1,2,0,0,14,374,2099.259
1,2,15,0,0,14,395,1886.59
0,2,4,0,0,15,524,1905.954
1,1,10,0,0,15,610,2376.51
0,1,5,0,0,16,47,479.967
1,2,12,0,0,2,154,479.967
1,2,12,0,0,7,196,479.967
0,1,5,0,1,6,392,479.967
1,1,10,0,0,6,246,479.967
0,1,5,0,0,7,268,479.967
1,2,12,0,0,8,345,479.967
0,2,4,0,0,7,312,479.967
1,1,10,0,0,7,203,479.967
1,3,17,0,0,11,368,441.048
0,2,4,0,0,11,431,1305.099
2,5,29,0,0,13,460,1315.136
0,2,7,0,0,15,453,1150.169
1,3,20,0,0,17,470,1811.987
1,3,20,0,0,17,455,2417.242
2,5,35,0,0,15,374,2099.259
4,7,55,0,0,15,395,1886.59
0,1,5,0,0,15,524,1905.954
2,5,32,0,0,15,610,2376.51
0,3,9,0,0,29,345,479.967
0,1,2,0,0,31,374,897.006
0,2,4,0,0,31,431,1305.099
0,1,2,0,0,32,460,1315.136
3,6,39,0,0,32,453,1150.169
0,7,17,0,0,32,470,1811.987
1,2,15,0,0,32,455,2417.242
0,1,2,0,0,32,374,2099.259
1,4,19,0,0,32,395,1886.59
0,13,44,0,0,35,524,1905.954
2,8,32,0,0,35,610,2376.51
0,1,2,0,0,5,330,479.967
2,3,22,0,0,0,610,2376.51
0,12,24,0,0,2,368,441.048
0,12,60,0,0,4,460,1315.136
0,12,24,0,0,4,453,1150.169
0,12,60,0,0,4,470,1811.987
0,12,24,0,0,4,374,2099.259
0,12,60,0,0,4,395,1886.59
13,13,130,0,0,2,610,2376.51
2,3,22,0,0,5,436,5003.678
0,2,4,1,1,0,787,5054.094
0,4,8,1,0,0,598,4070.094
1,1,10,0,0,6,203,1129.378
0,1,5,0,0,10,446,5106.679
0,4,20,0,0,10,395,6272.362
4,4,40,0,1,12,787,5054.094
5,17,86,0,0,12,598,4070.094
0,4,14,0,0,15,133,1129.378
1,16,70,0,0,15,222,1129.378
9,14,106,0,0,14,273,1129.378
10,20,132,0,0,14,446,1129.378
11,17,128,0,0,14,289,1129.378
10,21,137,0,0,14,293,1129.378
8,15,106,0,0,14,328,1129.378
3,14,61,0,0,15,365,1345.825
0,7,14,0,0,16,408,3125.725
0,8,19,0,0,16,374,3980.703
6,9,69,0,0,18,402,4893.135
0,7,35,0,0,18,446,5106.679
1,7,40,0,0,18,395,6272.362
6,7,62,0,0,18,436,5003.678
3,4,35,0,0,4,446,1129.378
3,4,32,0,0,6,293,1129.378
3,5,37,0,0,6,328,1129.378
4,5,42,0,0,8,365,1345.825
1,4,16,0,0,7,408,3125.725
2,10,48,0,0,14,374,3980.703
3,8,52,0,0,14,432,4923.393
4,8,54,0,0,14,347,4968.36
8,10,90,0,0,14,402,4893.135
4,7,49,0,0,14,446,5106.679
1,7,31,0,0,14,395,6272.362
3,12,51,0,0,14,436,5003.678
9,23,157,0,1,15,787,5054.094
3,21,111,0,0,15,598,4070.094
0,1,2,0,0,6,273,1129.378
0,1,2,0,0,6,446,1129.378
1,1,10,0,0,11,365,1345.825
0,1,5,0,0,11,408,3125.725
0,2,7,0,0,11,374,3980.703
1,7,37,0,0,11,56,1129.378
8,15,109,0,0,11,203,1129.378
7,14,90,0,0,11,322,1129.378
0,6,30,0,0,11,133,1129.378
1,5,30,0,0,13,222,1129.378
0,13,44,0,0,15,273,1129.378
0,5,10,0,0,18,446,1129.378
2,3,22,0,0,29,293,1129.378
1,1,10,0,0,31,408,3125.725
1,1,10,0,0,31,374,3980.703
0,7,20,0,0,32,347,4968.36
3,11,49,0,0,32,402,4893.135
2,8,32,0,0,32,446,5106.679
0,17,52,0,0,32,395,6272.362
2,10,42,0,0,32,436,5003.678
2,3,25,0,1,35,787,5054.094
0,1,5,0,0,35,598,4070.094
0,3,15,0,0,5,26,1129.378
0,1,2,0,0,5,436,5003.678
12,21,138,0,0,2,446,1129.378
0,20,100,0,0,2,289,1129.378
12,24,180,0,0,2,293,1129.378
12,12,120,0,0,2,328,1129.378
0,12,24,0,0,2,365,1345.825
0,12,24,0,0,4,395,6272.362
0,2,4,0,0,5,541,
8,15,106,0,0,10,552,
8,9,82,0,0,10,602,
4,13,58,0,0,10,581,
4,4,40,0,0,10,592,
0,6,27,0,0,10,541,
9,15,105,1,0,10,398,
9,20,142,1,0,12,561,
9,20,136,0,0,16,552,
5,25,120,0,0,16,602,
0,8,19,0,0,18,581,
0,2,4,0,0,18,592,
1,12,53,0,0,18,541,
1,16,76,0,0,18,398,
0,3,9,0,0,14,602,
0,5,16,0,0,14,581,
3,5,37,0,0,14,541,
2,3,22,0,0,14,398,
0,3,6,0,0,15,561,
0,5,22,0,0,18,249,
3,6,42,0,0,13,552,
1,6,29,0,0,15,602,
3,10,56,0,0,17,581,
0,4,14,0,0,17,592,
0,1,2,0,0,15,541,
0,4,14,0,0,15,398,
2,10,51,0,0,15,561,
4,19,109,0,0,32,552,
0,2,7,0,0,32,602,
0,1,5,0,0,32,581,
1,8,39,0,0,32,592,
0,9,24,0,0,32,541,
0,4,14,0,0,32,398,
2,10,57,0,0,35,561,
1,2,15,0,0,4,602,
1,3,17,0,0,5,592,
0,1,5,0,0,5,541,
2,5,35,0,0,0,561,
0,24,120,0,0,4,602,
0,22,74,0,0,4,581,
0,12,24,0,0,4,592,
12,12,120,0,0,4,541,
0,12,60,0,0,4,561,
0,1,5,0,0,5,306,368.356
1,1,10,0,0,5,397,632.201
0,3,15,0,0,5,324,822.583
0,2,4,0,0,0,338,1744.456
1,1,10,0,0,4,171,279.764
2,2,20,0,0,5,112,566.968
0,1,5,0,0,5,122,686.546
0,2,10,0,0,5,148,687.721
1,3,20,0,0,0,196,741.311
0,4,8,0,0,0,364,2857.325
0,1,2,0,0,0,447,2857.325
3,9,48,0,0,6,724,2857.325
0,1,5,0,0,6,473,2857.325
3,7,50,0,0,6,412,2857.325
0,6,12,0,0,6,436,2857.325
0,3,15,0,0,5,418,2857.325
0,4,20,0,0,6,482,2857.325
1,6,32,0,0,6,529,2857.325
0,9,42,0,0,6,574,2857.325
5,9,61,0,0,6,554,2857.325
9,11,100,0,0,6,693,4037.65
0,5,25,0,0,6,715,5236.425
0,5,10,0,0,6,728,6520.325
0,13,50,0,0,6,827,8073.125
1,9,26,0,0,6,748,10250.95
4,15,68,0,0,6,706,12217.175
4,6,47,1,0,6,744,14769.85
0,9,30,1,0,6,699,18804.9
2,13,63,0,0,5,823,2857.325
0,5,10,0,0,6,473,2857.325
0,1,2,0,0,7,416,2857.325
0,13,29,0,0,7,724,2857.325
0,6,12,0,0,7,412,2857.325
0,1,2,0,0,8,418,2857.325
0,1,2,0,0,8,693,4037.65
1,2,12,0,0,10,706,12217.175
1,13,58,0,0,10,744,14769.85
0,4,8,0,0,10,669,16253.95
0,10,26,0,0,10,699,18804.9
1,5,18,0,0,12,856,21354.125
5,7,57,0,0,12,854,29167.779
11,27,163,0,0,11,823,2857.325
1,1,10,0,0,9,447,2857.325
5,20,110,0,0,11,724,2857.325
0,8,16,0,0,9,412,2857.325
0,1,2,0,0,14,554,2857.325
10,26,162,1,0,15,693,4037.65
0,1,2,1,0,16,715,5236.425
1,11,36,1,0,16,728,6520.325
8,11,92,1,0,16,827,8073.125
0,6,12,1,0,18,748,10250.95
2,19,102,1,0,18,706,12217.175
2,20,89,1,0,18,744,14769.85
7,10,79,1,0,18,669,16253.95
8,16,114,0,0,18,699,18804.9
0,1,2,0,0,4,482,2857.325
0,1,2,0,0,6,554,2857.325
0,2,7,0,0,8,693,4037.65
0,2,7,0,0,7,715,5236.425
0,1,5,0,0,14,728,6520.325
0,1,2,0,0,14,827,8073.125
0,1,2,0,0,14,706,12217.175
0,1,2,0,0,14,744,14769.85
1,2,12,0,0,14,669,16253.95
1,2,15,0,0,14,699,18804.9
2,3,25,0,0,5,27,2857.325
11,14,122,0,0,15,219,2857.325
20,36,253,0,0,18,364,2857.325
46,64,520,0,0,21,473,2857.325
14,21,160,0,0,10,447,2857.325
1,2,15,0,0,4,412,2857.325
1,2,12,0,0,7,436,2857.325
0,1,2,0,0,7,431,2857.325
1,2,15,0,0,6,418,2857.325
2,7,36,0,0,6,482,2857.325
1,3,20,0,0,7,529,2857.325
2,4,30,0,0,8,574,2857.325
2,3,25,0,0,7,554,2857.325
3,6,39,0,0,11,693,4037.65
0,1,5,0,0,11,715,5236.425
1,2,15,0,0,11,728,6520.325
1,3,17,0,0,13,827,8073.125
1,3,14,0,0,15,748,10250.95
2,3,25,0,0,17,706,12217.175
2,6,34,0,0,15,744,14769.85
3,4,32,0,0,15,669,16253.95
1,3,14,0,0,15,699,18804.9
3,8,49,0,0,15,856,21354.125
1,6,32,0,0,15,854,29167.779
3,10,53,0,0,9,823,2857.325
1,1,10,0,0,4,81,2857.325
1,5,18,0,0,6,219,2857.325
2,7,42,0,0,9,364,2857.325
14,22,171,0,0,10,473,2857.325
16,26,195,0,0,11,447,2857.325
16,21,176,0,0,11,416,2857.325
8,16,111,0,0,11,724,2857.325
2,17,74,0,0,11,473,2857.325
18,25,212,0,0,11,412,2857.325
11,19,132,0,0,11,436,2857.325
2,22,105,0,0,13,431,2857.325
34,40,361,0,0,15,418,2857.325
45,61,506,0,0,18,482,2857.325
52,83,627,0,0,29,529,2857.325
48,74,574,0,0,29,574,2857.325
29,55,399,0,0,26,554,2857.325
50,63,565,0,0,29,693,4037.65
24,45,318,0,0,31,715,5236.425
35,56,419,0,0,31,728,6520.325
47,60,529,0,0,32,827,8073.125
37,66,482,0,0,32,748,10250.95
30,65,436,1,0,32,706,12217.175
31,68,447,1,0,32,744,14769.85
41,68,512,1,0,32,669,16253.95
48,71,568,0,0,32,699,18804.9
22,59,360,0,0,35,856,21354.125
27,69,459,0,0,35,854,29167.779
0,1,2,0,0,4,114,2857.325
1,4,19,0,0,2,823,2857.325
2,2,20,0,0,5,447,2857.325
4,7,49,0,0,4,715,5236.425
3,4,32,0,0,4,728,6520.325
4,4,40,0,0,4,827,8073.125
3,4,32,0,0,4,748,10250.95
0,1,5,0,0,5,706,12217.175
1,1,10,0,0,5,669,16253.95
0,4,14,0,0,0,854,29167.779
12,24,180,0,0,2,693,4037.65
12,12,120,0,0,2,715,5236.425
0,24,48,0,0,2,728,6520.325
12,24,180,1,0,4,744,14769.85
0,12,60,0,0,4,669,16253.95
0,24,48,0,0,4,699,18804.9
12,12,120,0,0,4,856,21354.125
0,26,91,0,0,2,854,29167.779
